author,top_emotions,top_emotions_pct,strong_emotions,moderate_emotions,weak_emotions,top_emotions_labeled
5426742,"[""approval"", ""optimism"", ""disgust""]","[28.57, 25.0, 21.43]",[],"[""approval"", ""optimism""]","[""disgust""]","[""approval (moderata: 28.57%)"", ""optimism (moderata: 25.00%)"", ""disgust (debole: 21.43%)""]"
5il3nc3r,"[""approval"", ""gratitude"", ""disapproval""]","[37.04, 29.63, 11.11]",[],"[""approval"", ""gratitude""]","[""disapproval""]","[""approval (moderata: 37.04%)"", ""gratitude (moderata: 29.63%)"", ""disapproval (debole: 11.11%)""]"
64BitCoffee,"[""curiosity"", ""approval"", ""annoyance""]","[28.0, 16.0, 16.0]",[],"[""curiosity""]","[""approval"", ""annoyance""]","[""curiosity (moderata: 28.00%)"", ""approval (debole: 16.00%)"", ""annoyance (debole: 16.00%)""]"
9Hero,"[""approval"", ""curiosity"", ""disappointment""]","[17.24, 13.79, 13.79]",[],[],"[""approval"", ""curiosity"", ""disappointment""]","[""approval (debole: 17.24%)"", ""curiosity (debole: 13.79%)"", ""disappointment (debole: 13.79%)""]"
ACE_C0ND0R,"[""approval"", ""annoyance"", ""curiosity""]","[31.58, 31.58, 21.05]",[],"[""approval"", ""annoyance""]","[""curiosity""]","[""approval (moderata: 31.58%)"", ""annoyance (moderata: 31.58%)"", ""curiosity (debole: 21.05%)""]"
A_Bra_and_a_Ham,"[""approval"", ""amusement"", ""disapproval""]","[35.71, 28.57, 25.0]",[],"[""approval"", ""amusement"", ""disapproval""]",[],"[""approval (moderata: 35.71%)"", ""amusement (moderata: 28.57%)"", ""disapproval (moderata: 25.00%)""]"
A_Pale_H_o_r_s_e,"[""annoyance"", ""disapproval"", ""approval""]","[30.77, 30.77, 26.92]",[],"[""annoyance"", ""disapproval"", ""approval""]",[],"[""annoyance (moderata: 30.77%)"", ""disapproval (moderata: 30.77%)"", ""approval (moderata: 26.92%)""]"
Abcmsaj,"[""admiration"", ""caring"", ""approval""]","[39.13, 13.04, 13.04]",[],"[""admiration""]","[""caring"", ""approval""]","[""admiration (moderata: 39.13%)"", ""caring (debole: 13.04%)"", ""approval (debole: 13.04%)""]"
AbiRNormal,"[""admiration"", ""gratitude"", ""approval""]","[42.31, 34.62, 23.08]",[],"[""admiration"", ""gratitude""]","[""approval""]","[""admiration (moderata: 42.31%)"", ""gratitude (moderata: 34.62%)"", ""approval (debole: 23.08%)""]"
AbstractStateMachine,"[""approval"", ""disapproval"", ""gratitude""]","[29.63, 18.52, 18.52]",[],"[""approval""]","[""disapproval"", ""gratitude""]","[""approval (moderata: 29.63%)"", ""disapproval (debole: 18.52%)"", ""gratitude (debole: 18.52%)""]"
AdamWe,"[""approval"", ""optimism"", ""disappointment""]","[32.0, 32.0, 20.0]",[],"[""approval"", ""optimism""]","[""disappointment""]","[""approval (moderata: 32.00%)"", ""optimism (moderata: 32.00%)"", ""disappointment (debole: 20.00%)""]"
Agentketter,"[""approval"", ""annoyance"", ""disapproval""]","[27.27, 18.18, 18.18]",[],"[""approval""]","[""annoyance"", ""disapproval""]","[""approval (moderata: 27.27%)"", ""annoyance (debole: 18.18%)"", ""disapproval (debole: 18.18%)""]"
Agewalker,"[""curiosity"", ""admiration"", ""approval""]","[28.0, 24.0, 24.0]",[],"[""curiosity""]","[""admiration"", ""approval""]","[""curiosity (moderata: 28.00%)"", ""admiration (debole: 24.00%)"", ""approval (debole: 24.00%)""]"
Aiichai,"[""approval"", ""love"", ""disapproval""]","[27.27, 27.27, 18.18]",[],"[""approval"", ""love""]","[""disapproval""]","[""approval (moderata: 27.27%)"", ""love (moderata: 27.27%)"", ""disapproval (debole: 18.18%)""]"
Ajubbajub,"[""approval"", ""annoyance"", ""curiosity""]","[48.0, 20.0, 20.0]",[],"[""approval""]","[""annoyance"", ""curiosity""]","[""approval (moderata: 48.00%)"", ""annoyance (debole: 20.00%)"", ""curiosity (debole: 20.00%)""]"
AkumaRose,"[""approval"", ""disapproval"", ""curiosity""]","[24.0, 24.0, 20.0]",[],[],"[""approval"", ""disapproval"", ""curiosity""]","[""approval (debole: 24.00%)"", ""disapproval (debole: 24.00%)"", ""curiosity (debole: 20.00%)""]"
Alejor307,"[""approval"", ""gratitude"", ""disapproval""]","[40.0, 20.0, 16.0]",[],"[""approval""]","[""gratitude"", ""disapproval""]","[""approval (moderata: 40.00%)"", ""gratitude (debole: 20.00%)"", ""disapproval (debole: 16.00%)""]"
Aleksandra1128,"[""gratitude"", ""approval"", ""disapproval""]","[20.69, 20.69, 17.24]",[],[],"[""gratitude"", ""approval"", ""disapproval""]","[""gratitude (debole: 20.69%)"", ""approval (debole: 20.69%)"", ""disapproval (debole: 17.24%)""]"
Alfred_Marshall,"[""disapproval"", ""approval"", ""curiosity""]","[39.29, 35.71, 25.0]",[],"[""disapproval"", ""approval"", ""curiosity""]",[],"[""disapproval (moderata: 39.29%)"", ""approval (moderata: 35.71%)"", ""curiosity (moderata: 25.00%)""]"
AliceFishyWishy,"[""disgust"", ""annoyance"", ""approval""]","[26.09, 17.39, 17.39]",[],"[""disgust""]","[""annoyance"", ""approval""]","[""disgust (moderata: 26.09%)"", ""annoyance (debole: 17.39%)"", ""approval (debole: 17.39%)""]"
AliceKettle,"[""disgust"", ""fear"", ""love""]","[48.15, 37.04, 25.93]",[],"[""disgust"", ""fear"", ""love""]",[],"[""disgust (moderata: 48.15%)"", ""fear (moderata: 37.04%)"", ""love (moderata: 25.93%)""]"
AlmightyWibble,"[""curiosity"", ""confusion"", ""approval""]","[26.09, 21.74, 21.74]",[],"[""curiosity""]","[""confusion"", ""approval""]","[""curiosity (moderata: 26.09%)"", ""confusion (debole: 21.74%)"", ""approval (debole: 21.74%)""]"
Alsedarna,"[""disgust"", ""love"", ""fear""]","[53.85, 53.85, 23.08]","[""disgust"", ""love""]",[],"[""fear""]","[""disgust (forte: 53.85%)"", ""love (forte: 53.85%)"", ""fear (debole: 23.08%)""]"
Altiondsols,"[""approval"", ""annoyance"", ""disapproval""]","[22.22, 22.22, 18.52]",[],[],"[""approval"", ""annoyance"", ""disapproval""]","[""approval (debole: 22.22%)"", ""annoyance (debole: 22.22%)"", ""disapproval (debole: 18.52%)""]"
Amator,"[""admiration"", ""approval"", ""joy""]","[28.57, 19.05, 19.05]",[],"[""admiration""]","[""approval"", ""joy""]","[""admiration (moderata: 28.57%)"", ""approval (debole: 19.05%)"", ""joy (debole: 19.05%)""]"
AmazonExplorer,"[""disapproval"", ""annoyance"", ""approval""]","[40.0, 32.0, 28.0]",[],"[""disapproval"", ""annoyance"", ""approval""]",[],"[""disapproval (moderata: 40.00%)"", ""annoyance (moderata: 32.00%)"", ""approval (moderata: 28.00%)""]"
Ambedo_1,"[""amusement"", ""annoyance"", ""approval""]","[28.0, 24.0, 20.0]",[],"[""amusement""]","[""annoyance"", ""approval""]","[""amusement (moderata: 28.00%)"", ""annoyance (debole: 24.00%)"", ""approval (debole: 20.00%)""]"
AmericanRed91,"[""approval"", ""caring"", ""confusion""]","[35.71, 28.57, 17.86]",[],"[""approval"", ""caring""]","[""confusion""]","[""approval (moderata: 35.71%)"", ""caring (moderata: 28.57%)"", ""confusion (debole: 17.86%)""]"
AnPowerliftinMermaid,"[""annoyance"", ""curiosity"", ""disapproval""]","[19.23, 19.23, 15.38]",[],[],"[""annoyance"", ""curiosity"", ""disapproval""]","[""annoyance (debole: 19.23%)"", ""curiosity (debole: 19.23%)"", ""disapproval (debole: 15.38%)""]"
AncientSwordRage,"[""curiosity"", ""admiration"", ""confusion""]","[46.15, 23.08, 15.38]",[],"[""curiosity""]","[""admiration"", ""confusion""]","[""curiosity (moderata: 46.15%)"", ""admiration (debole: 23.08%)"", ""confusion (debole: 15.38%)""]"
AndroidYumi,"[""admiration"", ""approval"", ""optimism""]","[26.92, 26.92, 15.38]",[],"[""admiration"", ""approval""]","[""optimism""]","[""admiration (moderata: 26.92%)"", ""approval (moderata: 26.92%)"", ""optimism (debole: 15.38%)""]"
Angry_Ram,"[""disapproval"", ""approval"", ""annoyance""]","[33.33, 25.93, 22.22]",[],"[""disapproval"", ""approval""]","[""annoyance""]","[""disapproval (moderata: 33.33%)"", ""approval (moderata: 25.93%)"", ""annoyance (debole: 22.22%)""]"
Animated_Imagination,"[""curiosity"", ""confusion"", ""approval""]","[32.14, 17.86, 17.86]",[],"[""curiosity""]","[""confusion"", ""approval""]","[""curiosity (moderata: 32.14%)"", ""confusion (debole: 17.86%)"", ""approval (debole: 17.86%)""]"
Anon_Logic,"[""approval"", ""annoyance"", ""disapproval""]","[28.0, 28.0, 28.0]",[],"[""approval"", ""annoyance"", ""disapproval""]",[],"[""approval (moderata: 28.00%)"", ""annoyance (moderata: 28.00%)"", ""disapproval (moderata: 28.00%)""]"
Aocast,"[""approval"", ""admiration"", ""amusement""]","[30.0, 25.0, 10.0]",[],"[""approval"", ""admiration""]","[""amusement""]","[""approval (moderata: 30.00%)"", ""admiration (moderata: 25.00%)"", ""amusement (debole: 10.00%)""]"
Arbiter7000,"[""annoyance"", ""disapproval"", ""approval""]","[39.29, 35.71, 21.43]",[],"[""annoyance"", ""disapproval""]","[""approval""]","[""annoyance (moderata: 39.29%)"", ""disapproval (moderata: 35.71%)"", ""approval (debole: 21.43%)""]"
ArceusBlitz,"[""admiration"", ""approval"", ""gratitude""]","[26.92, 26.92, 15.38]",[],"[""admiration"", ""approval""]","[""gratitude""]","[""admiration (moderata: 26.92%)"", ""approval (moderata: 26.92%)"", ""gratitude (debole: 15.38%)""]"
ArchieT7,"[""approval"", ""annoyance"", ""curiosity""]","[20.0, 20.0, 20.0]",[],[],"[""approval"", ""annoyance"", ""curiosity""]","[""approval (debole: 20.00%)"", ""annoyance (debole: 20.00%)"", ""curiosity (debole: 20.00%)""]"
Ardenbas,"[""approval"", ""disapproval"", ""realization""]","[29.63, 22.22, 18.52]",[],"[""approval""]","[""disapproval"", ""realization""]","[""approval (moderata: 29.63%)"", ""disapproval (debole: 22.22%)"", ""realization (debole: 18.52%)""]"
AresXI,"[""approval"", ""curiosity"", ""annoyance""]","[25.0, 20.0, 15.0]",[],"[""approval""]","[""curiosity"", ""annoyance""]","[""approval (moderata: 25.00%)"", ""curiosity (debole: 20.00%)"", ""annoyance (debole: 15.00%)""]"
Astronomy1,"[""approval"", ""annoyance"", ""desire""]","[36.84, 21.05, 15.79]",[],"[""approval""]","[""annoyance"", ""desire""]","[""approval (moderata: 36.84%)"", ""annoyance (debole: 21.05%)"", ""desire (debole: 15.79%)""]"
AtlasPSD,"[""admiration"", ""amusement"", ""approval""]","[44.0, 16.0, 16.0]",[],"[""admiration""]","[""amusement"", ""approval""]","[""admiration (moderata: 44.00%)"", ""amusement (debole: 16.00%)"", ""approval (debole: 16.00%)""]"
AuraofLight1,"[""approval"", ""amusement"", ""curiosity""]","[35.0, 25.0, 20.0]",[],"[""approval"", ""amusement""]","[""curiosity""]","[""approval (moderata: 35.00%)"", ""amusement (moderata: 25.00%)"", ""curiosity (debole: 20.00%)""]"
AureliusPendragon,"[""annoyance"", ""approval"", ""disgust""]","[50.0, 35.71, 28.57]","[""annoyance""]","[""approval"", ""disgust""]",[],"[""annoyance (forte: 50.00%)"", ""approval (moderata: 35.71%)"", ""disgust (moderata: 28.57%)""]"
Autodidact420,"[""approval"", ""amusement"", ""curiosity""]","[37.04, 25.93, 14.81]",[],"[""approval"", ""amusement""]","[""curiosity""]","[""approval (moderata: 37.04%)"", ""amusement (moderata: 25.93%)"", ""curiosity (debole: 14.81%)""]"
AverageJoeflake,"[""disgust"", ""approval"", ""annoyance""]","[20.69, 20.69, 20.69]",[],[],"[""disgust"", ""approval"", ""annoyance""]","[""disgust (debole: 20.69%)"", ""approval (debole: 20.69%)"", ""annoyance (debole: 20.69%)""]"
Avosia,"[""admiration"", ""approval"", ""annoyance""]","[25.93, 14.81, 11.11]",[],"[""admiration""]","[""approval"", ""annoyance""]","[""admiration (moderata: 25.93%)"", ""approval (debole: 14.81%)"", ""annoyance (debole: 11.11%)""]"
AyyyLmaoB0ss,"[""curiosity"", ""anger"", ""disapproval""]","[29.17, 20.83, 16.67]",[],"[""curiosity""]","[""anger"", ""disapproval""]","[""curiosity (moderata: 29.17%)"", ""anger (debole: 20.83%)"", ""disapproval (debole: 16.67%)""]"
BJabs,"[""confusion"", ""curiosity"", ""approval""]","[29.17, 25.0, 20.83]",[],"[""confusion"", ""curiosity""]","[""approval""]","[""confusion (moderata: 29.17%)"", ""curiosity (moderata: 25.00%)"", ""approval (debole: 20.83%)""]"
BadgerKid96,"[""admiration"", ""approval"", ""realization""]","[33.33, 27.78, 27.78]",[],"[""admiration"", ""approval"", ""realization""]",[],"[""admiration (moderata: 33.33%)"", ""approval (moderata: 27.78%)"", ""realization (moderata: 27.78%)""]"
Baron_Benite,"[""approval"", ""confusion"", ""disapproval""]","[28.0, 20.0, 20.0]",[],"[""approval""]","[""confusion"", ""disapproval""]","[""approval (moderata: 28.00%)"", ""confusion (debole: 20.00%)"", ""disapproval (debole: 20.00%)""]"
Baxter0402,"[""disgust"", ""approval"", ""fear""]","[34.78, 21.74, 21.74]",[],"[""disgust""]","[""approval"", ""fear""]","[""disgust (moderata: 34.78%)"", ""approval (debole: 21.74%)"", ""fear (debole: 21.74%)""]"
Benevolent_Tyrant,"[""annoyance"", ""disapproval"", ""admiration""]","[50.0, 45.83, 8.33]","[""annoyance""]","[""disapproval""]","[""admiration""]","[""annoyance (forte: 50.00%)"", ""disapproval (moderata: 45.83%)"", ""admiration (debole: 8.33%)""]"
Berkky_,"[""approval"", ""amusement"", ""curiosity""]","[21.74, 17.39, 17.39]",[],[],"[""approval"", ""amusement"", ""curiosity""]","[""approval (debole: 21.74%)"", ""amusement (debole: 17.39%)"", ""curiosity (debole: 17.39%)""]"
BetweenTwoWords,"[""gratitude"", ""admiration"", ""approval""]","[39.29, 25.0, 21.43]",[],"[""gratitude"", ""admiration""]","[""approval""]","[""gratitude (moderata: 39.29%)"", ""admiration (moderata: 25.00%)"", ""approval (debole: 21.43%)""]"
Bhikkhu_Jayasara,"[""disapproval"", ""disgust"", ""love""]","[37.93, 37.93, 27.59]",[],"[""disapproval"", ""disgust"", ""love""]",[],"[""disapproval (moderata: 37.93%)"", ""disgust (moderata: 37.93%)"", ""love (moderata: 27.59%)""]"
BigMcK_,"[""annoyance"", ""approval"", ""disgust""]","[36.36, 31.82, 22.73]",[],"[""annoyance"", ""approval""]","[""disgust""]","[""annoyance (moderata: 36.36%)"", ""approval (moderata: 31.82%)"", ""disgust (debole: 22.73%)""]"
BigWilldo,"[""amusement"", ""approval"", ""disappointment""]","[25.93, 22.22, 22.22]",[],"[""amusement""]","[""approval"", ""disappointment""]","[""amusement (moderata: 25.93%)"", ""approval (debole: 22.22%)"", ""disappointment (debole: 22.22%)""]"
BlackBourgeoisBat,"[""disapproval"", ""annoyance"", ""love""]","[21.43, 21.43, 14.29]",[],[],"[""disapproval"", ""annoyance"", ""love""]","[""disapproval (debole: 21.43%)"", ""annoyance (debole: 21.43%)"", ""love (debole: 14.29%)""]"
BlackCombos,"[""disapproval"", ""admiration"", ""approval""]","[29.63, 22.22, 22.22]",[],"[""disapproval""]","[""admiration"", ""approval""]","[""disapproval (moderata: 29.63%)"", ""admiration (debole: 22.22%)"", ""approval (debole: 22.22%)""]"
Black_Elements,"[""approval"", ""disapproval"", ""annoyance""]","[33.33, 33.33, 29.63]",[],"[""approval"", ""disapproval"", ""annoyance""]",[],"[""approval (moderata: 33.33%)"", ""disapproval (moderata: 33.33%)"", ""annoyance (moderata: 29.63%)""]"
Blackdutchie,"[""admiration"", ""approval"", ""annoyance""]","[21.43, 21.43, 17.86]",[],[],"[""admiration"", ""approval"", ""annoyance""]","[""admiration (debole: 21.43%)"", ""approval (debole: 21.43%)"", ""annoyance (debole: 17.86%)""]"
BlackendLight,"[""curiosity"", ""approval"", ""admiration""]","[37.04, 25.93, 18.52]",[],"[""curiosity"", ""approval""]","[""admiration""]","[""curiosity (moderata: 37.04%)"", ""approval (moderata: 25.93%)"", ""admiration (debole: 18.52%)""]"
BlatantTRPThrowaway,"[""annoyance"", ""approval"", ""disgust""]","[32.14, 32.14, 21.43]",[],"[""annoyance"", ""approval""]","[""disgust""]","[""annoyance (moderata: 32.14%)"", ""approval (moderata: 32.14%)"", ""disgust (debole: 21.43%)""]"
Blatti,"[""curiosity"", ""admiration"", ""approval""]","[34.62, 26.92, 23.08]",[],"[""curiosity"", ""admiration""]","[""approval""]","[""curiosity (moderata: 34.62%)"", ""admiration (moderata: 26.92%)"", ""approval (debole: 23.08%)""]"
Blehhh55,"[""approval"", ""love"", ""disapproval""]","[40.0, 24.0, 24.0]",[],"[""approval""]","[""love"", ""disapproval""]","[""approval (moderata: 40.00%)"", ""love (debole: 24.00%)"", ""disapproval (debole: 24.00%)""]"
Bliss86,"[""approval"", ""disapproval"", ""annoyance""]","[46.15, 26.92, 15.38]",[],"[""approval"", ""disapproval""]","[""annoyance""]","[""approval (moderata: 46.15%)"", ""disapproval (moderata: 26.92%)"", ""annoyance (debole: 15.38%)""]"
Blitz179,"[""curiosity"", ""annoyance"", ""anger""]","[37.93, 27.59, 17.24]",[],"[""curiosity"", ""annoyance""]","[""anger""]","[""curiosity (moderata: 37.93%)"", ""annoyance (moderata: 27.59%)"", ""anger (debole: 17.24%)""]"
BlueEyezzz,"[""approval"", ""admiration"", ""love""]","[33.33, 18.52, 18.52]",[],"[""approval""]","[""admiration"", ""love""]","[""approval (moderata: 33.33%)"", ""admiration (debole: 18.52%)"", ""love (debole: 18.52%)""]"
BlyOdlare,"[""admiration"", ""annoyance"", ""approval""]","[17.24, 17.24, 17.24]",[],[],"[""admiration"", ""annoyance"", ""approval""]","[""admiration (debole: 17.24%)"", ""annoyance (debole: 17.24%)"", ""approval (debole: 17.24%)""]"
Bobowo12,"[""curiosity"", ""approval"", ""disapproval""]","[25.93, 18.52, 14.81]",[],"[""curiosity""]","[""approval"", ""disapproval""]","[""curiosity (moderata: 25.93%)"", ""approval (debole: 18.52%)"", ""disapproval (debole: 14.81%)""]"
BonaFideNubbin,"[""approval"", ""admiration"", ""fear""]","[60.0, 16.0, 16.0]","[""approval""]",[],"[""admiration"", ""fear""]","[""approval (forte: 60.00%)"", ""admiration (debole: 16.00%)"", ""fear (debole: 16.00%)""]"
Bonch_and_Clyde,"[""annoyance"", ""approval"", ""confusion""]","[33.33, 33.33, 18.52]",[],"[""annoyance"", ""approval""]","[""confusion""]","[""annoyance (moderata: 33.33%)"", ""approval (moderata: 33.33%)"", ""confusion (debole: 18.52%)""]"
Bonhand,"[""amusement"", ""approval"", ""gratitude""]","[30.77, 26.92, 26.92]",[],"[""amusement"", ""approval"", ""gratitude""]",[],"[""amusement (moderata: 30.77%)"", ""approval (moderata: 26.92%)"", ""gratitude (moderata: 26.92%)""]"
BoutOfDoubt,"[""approval"", ""confusion"", ""amusement""]","[25.93, 22.22, 18.52]",[],"[""approval""]","[""confusion"", ""amusement""]","[""approval (moderata: 25.93%)"", ""confusion (debole: 22.22%)"", ""amusement (debole: 18.52%)""]"
Brewer_Matt,"[""disgust"", ""approval"", ""fear""]","[60.0, 24.0, 20.0]","[""disgust""]",[],"[""approval"", ""fear""]","[""disgust (forte: 60.00%)"", ""approval (debole: 24.00%)"", ""fear (debole: 20.00%)""]"
Brewingupabrownstorm,"[""annoyance"", ""approval"", ""disgust""]","[40.0, 32.0, 24.0]",[],"[""annoyance"", ""approval""]","[""disgust""]","[""annoyance (moderata: 40.00%)"", ""approval (moderata: 32.00%)"", ""disgust (debole: 24.00%)""]"
BrokenGlassSparkling,"[""approval"", ""admiration"", ""love""]","[32.0, 28.0, 20.0]",[],"[""approval"", ""admiration""]","[""love""]","[""approval (moderata: 32.00%)"", ""admiration (moderata: 28.00%)"", ""love (debole: 20.00%)""]"
BronzeChrash,"[""approval"", ""curiosity"", ""admiration""]","[23.08, 23.08, 15.38]",[],[],"[""approval"", ""curiosity"", ""admiration""]","[""approval (debole: 23.08%)"", ""curiosity (debole: 23.08%)"", ""admiration (debole: 15.38%)""]"
BubblesAndSass,"[""approval"", ""annoyance"", ""caring""]","[42.86, 25.0, 21.43]",[],"[""approval"", ""annoyance""]","[""caring""]","[""approval (moderata: 42.86%)"", ""annoyance (moderata: 25.00%)"", ""caring (debole: 21.43%)""]"
BubolKawaiiFace,"[""curiosity"", ""admiration"", ""approval""]","[29.17, 25.0, 16.67]",[],"[""curiosity"", ""admiration""]","[""approval""]","[""curiosity (moderata: 29.17%)"", ""admiration (moderata: 25.00%)"", ""approval (debole: 16.67%)""]"
BurnedOutInAJar,"[""approval"", ""disappointment"", ""confusion""]","[18.52, 18.52, 14.81]",[],[],"[""approval"", ""disappointment"", ""confusion""]","[""approval (debole: 18.52%)"", ""disappointment (debole: 18.52%)"", ""confusion (debole: 14.81%)""]"
CLEMENTZ_,"[""annoyance"", ""disapproval"", ""approval""]","[24.0, 20.0, 16.0]",[],[],"[""annoyance"", ""disapproval"", ""approval""]","[""annoyance (debole: 24.00%)"", ""disapproval (debole: 20.00%)"", ""approval (debole: 16.00%)""]"
CLENVENMETINS,"[""annoyance"", ""approval"", ""realization""]","[24.0, 24.0, 16.0]",[],[],"[""annoyance"", ""approval"", ""realization""]","[""annoyance (debole: 24.00%)"", ""approval (debole: 24.00%)"", ""realization (debole: 16.00%)""]"
CaligarisMirror,"[""admiration"", ""approval"", ""gratitude""]","[30.77, 19.23, 19.23]",[],"[""admiration""]","[""approval"", ""gratitude""]","[""admiration (moderata: 30.77%)"", ""approval (debole: 19.23%)"", ""gratitude (debole: 19.23%)""]"
Calstifer,"[""approval"", ""disapproval"", ""annoyance""]","[26.92, 19.23, 19.23]",[],"[""approval""]","[""disapproval"", ""annoyance""]","[""approval (moderata: 26.92%)"", ""disapproval (debole: 19.23%)"", ""annoyance (debole: 19.23%)""]"
CaptainDudeGuy,"[""approval"", ""disgust"", ""caring""]","[56.52, 21.74, 21.74]","[""approval""]",[],"[""disgust"", ""caring""]","[""approval (forte: 56.52%)"", ""disgust (debole: 21.74%)"", ""caring (debole: 21.74%)""]"
Captain_Clover,"[""disapproval"", ""curiosity"", ""annoyance""]","[29.17, 16.67, 12.5]",[],"[""disapproval""]","[""curiosity"", ""annoyance""]","[""disapproval (moderata: 29.17%)"", ""curiosity (debole: 16.67%)"", ""annoyance (debole: 12.50%)""]"
Captaindecius,"[""annoyance"", ""curiosity"", ""love""]","[29.63, 18.52, 18.52]",[],"[""annoyance""]","[""curiosity"", ""love""]","[""annoyance (moderata: 29.63%)"", ""curiosity (debole: 18.52%)"", ""love (debole: 18.52%)""]"
Casconvacc,"[""disapproval"", ""gratitude"", ""annoyance""]","[25.93, 18.52, 14.81]",[],"[""disapproval""]","[""gratitude"", ""annoyance""]","[""disapproval (moderata: 25.93%)"", ""gratitude (debole: 18.52%)"", ""annoyance (debole: 14.81%)""]"
Cat-Nipped,"[""approval"", ""curiosity"", ""love""]","[21.43, 17.86, 17.86]",[],[],"[""approval"", ""curiosity"", ""love""]","[""approval (debole: 21.43%)"", ""curiosity (debole: 17.86%)"", ""love (debole: 17.86%)""]"
CaymanFifth,"[""annoyance"", ""amusement"", ""admiration""]","[35.0, 10.0, 10.0]",[],"[""annoyance""]","[""amusement"", ""admiration""]","[""annoyance (moderata: 35.00%)"", ""amusement (debole: 10.00%)"", ""admiration (debole: 10.00%)""]"
CelestelRain,"[""annoyance"", ""disapproval"", ""caring""]","[26.92, 23.08, 19.23]",[],"[""annoyance""]","[""disapproval"", ""caring""]","[""annoyance (moderata: 26.92%)"", ""disapproval (debole: 23.08%)"", ""caring (debole: 19.23%)""]"
CharlesofValois,"[""approval"", ""annoyance"", ""admiration""]","[38.46, 15.38, 15.38]",[],"[""approval""]","[""annoyance"", ""admiration""]","[""approval (moderata: 38.46%)"", ""annoyance (debole: 15.38%)"", ""admiration (debole: 15.38%)""]"
